no,date_post,username,tweet,klasifikasi
11,2023-03-19 18:07:44 SE Asia Standard Time,boeconomica,"[MILD REPORT] Lari Kencang ChatGPT, Mampukah Kualitas Akademik Mengejar?  Akhir-akhir ini, perkembangan teknologi berbasis Artificial Intelligence (AI) menjadi topik yang hangat diperbincangkan.  https://t.co/nTNj2hNSxy",Netral
12,2023-03-19 09:53:21 SE Asia Standard Time,aimanpsikologi,"@dsurvivorman Sebab tu silibus kena selari dengan technology.  AI ini ialah tools. Kalau tak pandai guna, hauk juga.  Zaman dulu pun assignment tulis tangan kan. Zaman sekarang kita taip, submit pun online.  Sistem pendidikan mestilah selari dengan perkembangan teknologi.",error
13,2023-03-18 19:56:58 SE Asia Standard Time,ismhnl,takjub banget sama perkembangan AI,Positif
14,2023-03-18 15:11:50 SE Asia Standard Time,arahman,Excited dengan perkembangan AI tahun ni!,Positif
15,2023-03-18 09:00:01 SE Asia Standard Time,neoriental,"Melihat perkembangan eksponensial dari AI beberapa bulan terakhir, ditambah dengan mainstream-nya penggunaannya oleh segala jenis user untuk segala jenis kebutuhan, jadi tergelitik dengan teori yang sempat viral dan diklaim konspiratif: Dead Internet Theory (DIT).  Thread singkat  https://t.co/NDf9iMYuWS",Netral
16,2023-03-18 08:02:31 SE Asia Standard Time,munafvkbuds,"Di era industrialisasi, kemajuan AI, dan perkembangan Web 3.0, kalimat 'Ucapan adalah doa' dewasa ini sudah merambah pada 'Tweet adalah doa'. 💀🙏   https://t.co/QR9gsLQONw",Netral
17,2023-03-18 05:57:45 SE Asia Standard Time,kiluaz91,"@Utopianihilist Agak ngeri juga ini perkembangan AI, ngasih rekomen ga cuma judul doang tp kasih sinopsis dikit, udah gitu dibilangin jg cobain dulu krn selera orang beda-beda wkwk",Negatif
18,2023-03-18 00:52:29 SE Asia Standard Time,arybandung,Ada bbrp inovasi teknologi terbaru yg bs mengubah dunia di tengah perkembangan sains dan teknologi yg berkembang pesat. Yuk bahas di antaranya:  - Artificial Intelligence (AI) - Internet of Things (IoT) - Quantum Computing - Blockchain - Augmented Reality (AR) .  https://t.co/eZRHWYjrWn,Netral
19,2023-03-17 22:26:52 SE Asia Standard Time,altheafaerie,"@ttlihy Plisss 😭😭 banyak banget loh sekarang ai, bahkan ada ai yang bisa bikin musik sendiri. kalo ngomongin perkembangan teknologi tuh emang suka serem gitu, padahal ai katanya dibuat gak melebihi kecerdasan manusia, tapi kalau liat bentukan ai nya berasa lebih pinter ai nya ya",Negatif
20,2023-03-17 17:08:33 SE Asia Standard Time,topan_mth,Perkembangan AI semakin ngeri aja nih baru nyoba chat gpt eh udah ada yg versi ke 4 aja,Negatif
21,2023-03-17 15:48:35 SE Asia Standard Time,fahmiagustian,Yak.. Perkembangan AI semakin menarik sodara-sodara. 😂,Positif
22,2023-03-17 10:55:19 SE Asia Standard Time,mochboudi,"Menghadapi perkembangan AI, sepertinya yg diperlukan kedepan yg perlu diimbangi adalah ilmu-ilmu yg berbau sosial deh.",Netral
23,2023-03-17 08:50:18 SE Asia Standard Time,intanina__,"Sempat ngeri sama metaverse, skrg ngeri juga sama perkembangan AI. Ex Machina benar² membekas dalam ingatan. Syeram.",Negatif
24,2023-03-17 07:06:08 SE Asia Standard Time,idntimes,Perkembangan AI Berpotensi Membawa Perubahan di Dunia Bisnis  https://t.co/Yx9JVoZ3eZ,Netral
25,2023-03-17 05:43:05 SE Asia Standard Time,sidul_site,Perkembangan baru dalam teknologi AI  https://t.co/1nyu68R8vc,error
26,2023-03-16 22:07:23 SE Asia Standard Time,hmjm_unimus,• Dengan adanya ai perkembangan ekonomi dapat memperbanyak lapangan pekerjaan dan menghemat waktu manusia. • Memiliki dampak positif dan negatif dari beberapa sektor dampak positif dari ai misalnya di sektor kesehatan ai dapat membantu penyandang disabilitas karena ai,Netral
27,2023-03-16 22:07:03 SE Asia Standard Time,hmjm_unimus,"3. Keuangan dan Perbankan  Di sektor yang satu ini, kehadiran artificial intelligence mampu memanjakan para nasabah dalam menyelesaikan transaksi perbankan. Selain itu, potensi perkembangan AI di sektor keuangan secara keseluruhan mampu meningkatkan revenue sekaligus",Positif
28,2023-03-16 22:06:52 SE Asia Standard Time,hmjm_unimus,"Dengan memanfaatkan kecerdasan AI bisa memengaruhi tingkat perkembangan ekonomi suatu negara. Dampak yang bisa dirasakan dengan adanya campur tangan teknologi AI bisa ditemukan di berbagai sektor, diantaranya adalah:",Netral
29,2023-03-16 22:06:49 SE Asia Standard Time,hmjm_unimus,"Pengaruh Artificial Intelligence Terhadap Perkembangan Ekonomi   Di awal 2022 ini, artificial intelligence (AI) menjadi salah satu sistem yang membantu manusia dalam menyelesaikan pekerjaannya.",Positif
30,2023-03-16 21:12:16 SE Asia Standard Time,taudataanalytic,Begitu banyak yg sibuk kagum dgn perkembangan #AI &amp; ramai membicarakan bagaimana AI akan mengambil alih byk pekerjaan  Tapi sedikit sekali yg mendiskusikan bagaimana menyiapkan blueprint pengembangan AI yg baik agar kelak anak-cucu kita akan tetap mendapatkan pekerjaan yg layak,Netral
31,2023-03-16 16:13:01 SE Asia Standard Time,bayuajisans99,@PintuID @anggaandinata Pendapat mas angga tentang teknologi berbasis AI yang semakin canggih saat ini? seperti trend kehadiran chatGPT apakah bisa mempengaruhi perkembangan web3 dan blockchain lebih baik lagi?,Netral
32,2023-03-16 08:12:33 SE Asia Standard Time,luvie_sha,@DancingDugong @2welasku @mlbbfess btw aku emg always main vs ai tp kan ada tu momen tiba2 udh cape spam hero di vs ai mau coba ke cls biar liat ada perkembangan atau ngga  jarang sih dimarahi tp kdg2 tu suka ngatur. jgn kesini jgn kesitu jgn ngikutin. prnh dibacotin di albuk katanya skin hasil jual diri.  miskin,error
33,2023-03-15 20:53:40 SE Asia Standard Time,papaojol,"@convomf 2023 ini perkembangan AI udah keren banget, kalian kebayang engga gimana kehidupan manusia let’s say 2050 nanti?",Positif
34,2023-03-15 19:49:25 SE Asia Standard Time,soifant_,"manusia butuh waktu lebih dari sehari untuk membuat game sederhana, tapi dengan Chat GPT-4 cuma butuh waktu 20 menit untuk membuatnya  perkembangan ai semakin menarik dan sangat cepat",Positif
35,2023-03-15 16:29:46 SE Asia Standard Time,zilfikriyr,"Jadi emang harus hati-hati sekarang upload foto, khususnya wajah apalagi seluruh tubuh, kalau ingin terhindar dari kelakuan orang-orang iseng.  Tapi, melihat perkembangan AI sekarang, mungkin tetap wajah yang harus dijaga di publik. (Cewe cowo berpotensi jadi target atau korban)",Negatif
36,2023-03-15 12:56:54 SE Asia Standard Time,hilalalify,"@nurkholismhmd Saya justru optimis dg perkembangan AI yg massif belakangan ini. Asal tahu cara menggunakannya, kecerdasan manusia akan meroket dg bantuan AI. Seiring perkembangan itu, akan muncul AI untuk mendeteksi kecurangan².",Positif
37,2023-03-15 09:35:41 SE Asia Standard Time,restarea83,"Di tengah perkembangan AI yang begitu pesat, warga Bandung harus berbangga karena sejak dahulu sudah ada musisi yang jatuh hati sama AI.  Doel Sumbang - AI  https://t.co/hStZzFhuWb",error
38,2023-03-15 07:14:48 SE Asia Standard Time,nug1209,"Perkembangan baru soal AI. Open AI luncuring GPT-4 yang bisa proses file video dan suara juga selain teks. Google implementasiin AI di produk Workspace mereka (Docs, Gmail, Slides, dll).",Positif
39,2023-03-15 06:09:26 SE Asia Standard Time,ipoksamidub,"ini bukan menunjukkan GPT-4, pintar ya man teman, namun lebih membuktikan bahwa pustakanya sudah sangat lengkap, masih selalu menambah. Mantap perkembangan AI saat ini, luar biasa.",Positif
40,2023-03-15 03:57:06 SE Asia Standard Time,achlismy,"ngeliat perkembangan AI jadi flashback sama revolusi industri cuy..  it all just seems related like, the history will repeats itself  maybe being a generalist would be the best choice? karena bakal membuka banyak peluang karir sih, imo",Positif
41,2023-03-14 20:13:49 SE Asia Standard Time,arcmalzsmarter,"Eh, malam ni Bukan borak biashe (Bbb) ade ditayangkn secara live kat channel yg khas As a football fan, program mcam ni mmang wajib to ditonton pade hari yg trtentu and selain ingin know perkembangan trkini and isu trbaru yg berlaku dlam dunia soccer So, now ai baru nak tune in",error
42,2023-03-14 18:12:40 SE Asia Standard Time,tuuuiiit,"Yuk subscribe channel YouTube baru tentang seni AI! Dengan konten-konten keren dan menarik, kamu akan terus terupdate tentang perkembangan seni digital. #SeniAI #AIcanggih #Berlangganan #Retweet Yuk, cek di sini:  https://t.co/8mCeV1kUpp",Positif
43,2023-03-14 13:00:00 SE Asia Standard Time,bp3_kemdikbud,"Halo, Kawan Pendidikan.  Bagi Kawan yang mengikuti perkembangan dunia teknologi, pasti sudah familiar dengan robot dan kecerdasan buatan (artificial intelligence atau AI), bukan? Ternyata, di Indonesia sudah tersedia jurusan kuliah khusus yang mendalami bidang ini, lho! ---  https://t.co/nj7X2HJVMY",Positif
44,2023-03-14 07:53:54 SE Asia Standard Time,motulz,"Mengikuti perkembangan dunia AI.. bikin perasaan campur-aduk… antara kagum dan cemas 😅  Gak bisa bohong, AI makin hari makin canggih &amp; makin menggila. Bukan hanya dr penggunaan dan aplikasinya saja tapi jg dari perkembangan cara mesin belajar, berfikir, bahkan mesin berlogika",Netral
45,2023-03-13 15:12:25 SE Asia Standard Time,rochsid,Kukira perkembangan AI tidak akan secepat ini.,Positif
46,2023-03-13 14:40:57 SE Asia Standard Time,arybandung,"Bbrp topik diskusi ttg #ChatGPT hampir sebulan terakhir 👇 dan sepertinya ke dpn topik ttg #AI khususnya #Chatbots jg #GPT4 (padahal chatbots bkn hanya ChatGPT) akan makin ramai mengingat perkembangan yg pesat, dan bermunculan aplikasi dgn berbagai media (image, video, musik) : .  https://t.co/hcIHO0WR0z",Positif
47,2023-03-13 11:18:23 SE Asia Standard Time,y_adi_krist,"dengan melihat perkembangan AI yg sangat pesat akhir2 ini, kayaknya mengasah skill non programming harus mulai ditingkatkan, ya jaga2 aja kan, programmer udah g laku,  kursus nyetir kendaraan tipe B1 ama B2 dimana ya?",Negatif
48,2023-03-12 15:03:25 SE Asia Standard Time,almalikikky,"Menikmati isu yang sama sekali gw ga pengen tahu, jadi disodorin kalau ai jadi kudu tahu di sini.  Memang begitulah perkembangan algoritma. Dinikmati aja. Kalau kagak suka, sign out.  Ini bisnis pakai data dan mungkin banyak orang yang candu, lo gak termasuk sekaligus minoritas.",Netral
49,2023-03-12 13:39:49 SE Asia Standard Time,ainurrohman17_,Perkembangan AI khususnya yang ke arah multimodal AI terjadi gila-gilaan.   Perkembangan AI yang semakin pesat sudah dari tahun-tahun sebelumnya semenjak tercetusnya ImageNet dan hadirnya CNN architecture AlexNet di tahun 2012.,Positif
50,2023-03-12 09:57:09 SE Asia Standard Time,kompasiana,"ChatGPT itu adalah salah satu bentuk implementasi dari GPT (Generative Pre-training Transformer). Melihat perkembangan AI dan chatGPT, kira-kira bagaimana perkembangan chatGPT ke depannya? #headline   https://t.co/5mM90DXSvT",Netral
51,2023-03-12 09:17:44 SE Asia Standard Time,aquacityid,"Bersiaplah untuk Block on the Beach 2023 Hari 1 di Avista Grande Phuket Karon 🇹🇭🏝 Nikmati kemewahan modern, sambil belajar tentang pembaruan &amp; perkembangan terbaru di blockchain, web3, dan AI 💻📈 Sampai jumpa di @blockonthebeach #BOB2023 🔗 INFO LEBIH LANJUT:  https://t.co/bR6O90RFc3",Positif
52,2023-03-11 14:46:48 SE Asia Standard Time,restingbitch_00,"ketakutan tokoh tokoh influentialseperti elon musk, peter thiel dan zuckerberg tentang populasi manusia yang berkurang memiliki alasan yang sangat kuat, berhubung perkembangan AI ke depannya akan sangat menggantikan peran manusia baik secara tenaga ataupun dlm kemampuan kognitif",Negatif
53,2023-03-11 13:06:21 SE Asia Standard Time,motulz,"Memantau perkembangan AI-image-photo-video ini benar2 mind blowing ya? Progres perkembangannya super cepat dan gila!  Mulai dari yang awalnya hanya mereka-reka gambar, reka-ulang gambar dan foto, restorasi gambar dan foto, sampai restorasi video!   Gila..!",Positif
54,2023-03-10 23:33:44 SE Asia Standard Time,pejabaft,"14. Teorinya bagus bang👍🏻 tentang perkembangan kepribadian manusia, kan? oke mantap teruskan mari kita pelajari kalo gak males. 15. @cecumberr lu bawel 16. @gaeiol ngong ngong 17. Penting bang, gak ada obat kita lama sembuhnya. Gitu aja dah 18. Bang ai lop yu ngik nguk ngik nguk",error
55,2023-03-10 09:32:14 SE Asia Standard Time,jetveetlev,"Menariknya ERP dilarang, tapi kamu tetap bisa RP jadi killer :D  Anyway.  AI companionship sih bakal makin menjadi2 dengan perkembangan model bahasa kayak si GPT4 ini nantinya.  Talking to AI yang 110% support mungkin bakal jadi lebih seru dibanding sama gebetan...",Positif
56,2023-03-10 07:53:39 SE Asia Standard Time,latishab_,"ini perkembangan Generative AI cepet banget, belom sempet baca paper2 yg pengen gue baca eh udah ada yg baru aja 😂",Positif
57,2023-03-09 23:54:10 SE Asia Standard Time,tasyaoo,"@Stakof Kalo jd socmed specialists aja hrs nunggu 15 tahun, keburu kegerus zaman, pak.  Bapak bilang sendiri, umur2 socmed di atas growing &lt;20 tahun. Kebayang kan perkembangan tech sepesat apa?  Jd kepo, bpknya udh tau blm ya skrg ada AI bikin visual, artikel, dll? Jgn kaget y pak🙏🏽",Negatif
58,2023-03-09 09:25:00 SE Asia Standard Time,habibthink,"Melihat perkembangan artificial intelligence (AI) yang cukup progresif (cth: ChatGPT), kira2 pekerjaan apa saja yang akan tergantikan oleh AI di masa depan?",Negatif
59,2023-03-08 19:26:44 SE Asia Standard Time,dcmkfess,"Alele! Kalian ada yg ikut seneng ga sih liat perkembangan karakter Ai yang dulu sering sedih, murung, depresod sekarang udah mulai sering senyum, ketawa2, ngelawak, dan punya idola ❤️  https://t.co/6wto8z8yuX",Positif
60,2023-03-08 19:17:50 SE Asia Standard Time,youngsterid_,"Teknologi artificial intelligence (AI) mengalami perkembangan pesat belakangan ini. Hal ini juga mengubah cara bisnis beroperasi di berbagai industri, termasuk telekomunikasi.  Sepertinya ini menjadi dasar Telkomsel mengintegrasikan Microsoft Azure   https://t.co/T3bEArP9Dw  https://t.co/rP0whrcqKH",Positif
61,2023-03-08 16:10:00 SE Asia Standard Time,hariankompas,"Perkembangan teknologi kecerdasan artifisial (artificial intelligence/AI) merebak dalam beberapa tahun terakhir. Penggunaan AI sudah dilakukan dalam kehidupan keseharian, misalnya penggunaan teknologi pengenalan wajah.   https://t.co/aX6IPexQkG  #JurnalismeMencerahkan #AdadiKompas",Positif
62,2023-03-08 13:45:06 SE Asia Standard Time,bobyrahmat18,Perkembangan Komputasi AI Kini Semakin Tak Terbendung   #ArtificialIntelligence #AI #ChatGPT   https://t.co/phJl6Jh0sj,Negatif
63,2023-03-08 13:24:38 SE Asia Standard Time,brin_indonesia,"Artificial intelligence (AI) merupakan bagian dari kemajuan teknologi informasi dan komunikasi (TIK). AI adalah milestone dari proses natural perkembangan teknologi, yang diharapkan memudahkan kehidupan. Selengkapnya:  https://t.co/LOYB4QLhRG",Positif
64,2023-03-08 12:49:42 SE Asia Standard Time,kompasdata,Melihat kembali tonggak-tonggak perkembangan AI dapat membantu kita untuk memahami mengapa dan bagaimana teknologi ini hadir di tengah kehidupan manusia.  https://t.co/fQY1CaZBgX  #Riset #AdadiKompas,Netral
65,2023-03-08 12:49:41 SE Asia Standard Time,kompasdata,"Istilah “artificial intelligence” baru dikenal dunia sejak 1956. Meski demikian, perkembangan AI melesat sangat cepat di era modern ini.  https://t.co/fQY1CaZBgX  [UTAS]  #Riset #AdadiKompas  https://t.co/NOi044ZC8a",Positif
66,2023-03-08 10:23:35 SE Asia Standard Time,hariankompas,"Istilah “artificial intelligence” baru dikenal dunia sejak 1956. Meski demikian, perkembangan AI melesat sangat cepat di era modern ini.    https://t.co/xxlXjUW2W9  #Linimasa #AdadiKompas",Positif
67,2023-03-08 10:23:12 SE Asia Standard Time,kompasdata,"Istilah “artificial intelligence” baru dikenal dunia sejak 1956. Meski demikian, perkembangan AI melesat sangat cepat di era modern ini.   https://t.co/8GPzoQfo0e  #Riset  #AdadiKompas",Positif
68,2023-03-08 00:30:02 SE Asia Standard Time,chelengers,"@ukhaghaezy kita udah lama ga ketemu uk, makin keren aja pemikiran lu, kapan2 ngobrol lahh, tentang perkembangan dunia dan AI",error
69,2023-03-07 23:49:21 SE Asia Standard Time,bedhillboy,"dengan segala cepatnya perkembangan AI saat ini, kok gw ngerasa serem yaa",Negatif
70,2023-03-07 19:40:43 SE Asia Standard Time,aqiljunaidi_,Hari ni hari pertama Ai Ming ke taska baru (lagi).  Awal tahun hari tu taska lain. 2 bulan je. Kemudian bulan ni kami terpaksa pindahkan dia ke taska lain untuk perkembangan mental dan fizikal Ai Ming yang lebih sihat dan mantap. Cewah.  🧵  https://t.co/LlLrFgaj4v,error
71,2023-03-07 17:43:31 SE Asia Standard Time,newphnforgiving,"Di saat orang-orang mulai memikirkan potensi AI dan energi terbarukan, orang ini malah memikirkan hal-hal yg tidak mendukung perkembangan zaman dan teknologi, bahkan berpotensi menghambat perkembangan teknologi.",Negatif
72,2023-03-07 14:23:57 SE Asia Standard Time,komahi_ur,"CAS Komahi yang berisikan informasi seputar olahraga dan seni terkini yang dikemas semenarik mungkin.  Seiring pesatnya perkembangan teknologi Artificial Intelligence atau yang sering disingkat dengan AI,  https://t.co/tfNchlJB9Z",Positif
73,2023-03-07 11:28:09 SE Asia Standard Time,hariankompas,"""Perkembangan AI akan semakin canggih. Ada kekhawatiran, manusia akan semakin bodoh karena semuanya sudah tersedia. Seperti meracik makanan yang sudah tersedia resepnya."" - Ketua Indonesia Artificial Intelligence Society (IAIS), Dr Lukas  #JurnalismeMencerahkan #AdadiKompas  https://t.co/BLQVX5PQL9",Negatif
74,2023-03-07 07:25:43 SE Asia Standard Time,jkertawinata,Perkembangan kasus AI di Indonesia dilaporkan meningkat dari tahun sebelumnya sejak Maret s/d Mei 2022. Kejadian terus meningkat hingga mencapai puncaknya pada Februari 2023 hingga lebih dari 2 kali angka kejadian rata-ratanya. Hal ini meningkatkan kewaspadaan terhadap AI,Negatif
75,2023-03-06 18:32:54 SE Asia Standard Time,termuxxtrap,$AiFi #AlgalonAI #AlgalonTweet #AI #ArtificialIntelligence   @AlgalonAI  ada event yang sangat seru dan membantu perkembangan komunitas dengan  https://t.co/gxkiqGg4Ok  Serta ada hadiah loh 😁  https://t.co/vtVlgTN32z,error
76,2023-03-06 13:43:26 SE Asia Standard Time,youngsterid_,Indonesia merupakan negara dengan jumlah penduduk cukup besar dan sekaligus berada di tengah perkembangan digital yang sangat pesat. Kecerdasan buatan atau Artificial Intelligence (AI) adalah salah satu teknologi yang paling banyak dibicarakan saat ini   https://t.co/6oTRaoxukq  https://t.co/9nDLj9Nt65,Netral
77,2023-03-06 12:20:02 SE Asia Standard Time,bybliyobi,"perkembangannya cepet banget, AI makin canggih, kemarin2 terakhir liat di perkembangan deep fake + voice fake, yakali biden trump putin mabar 🤔",Positif
78,2023-03-06 09:03:35 SE Asia Standard Time,aiselection,"Perkembangan Terbaru Teknologi Data Science: Memanfaatkan Big Data, AI, dan IoT untuk Prediksi dan…  https://t.co/Lw5YVOUQuV",error
79,2023-03-06 07:40:00 SE Asia Standard Time,hariankompas,Teknologi kecerdasan buatan atau artificial intelligence (AI) mendorong kemajuan besar pada perkembangan industri otomotif. AI dikembangkan demi meningkatkan keselamatan berkendara.   https://t.co/4jMez09s04  #KecerdasanBuatan #AdadiKompas,Positif
80,2023-03-05 10:45:57 SE Asia Standard Time,bahri_ocean,"@budimandjatmiko penerapan aplikasi yang tepat sasaran akan sangat berguna sekali, manusian memang harus bersiap menghadapi perubahan drastis.dari segi tekhnologi.temasuk perkembangan AI",Netral
81,2023-03-05 07:12:11 SE Asia Standard Time,sunu_pekujawang,"So, kira2 perkembangan Machine Learning (ML) dan Artificial Inteligence (AI) bakal jadi sebuah creative destruction yg menghilangkan byk kerjaan manusia?  https://t.co/1FbVhWS0hr",Negatif
82,2023-03-04 16:39:12 SE Asia Standard Time,try_ptophan,"Ahahahahah akhirnya ada yang ngangkat topik kek gini. Kepengen dari dulu sp radiologi diagnostik jadi mikir2, ya gimana AI perkembangan ga ngotak, apalagi kalo main job involve around baca2 dan interpretasi data, this shit is real.",Negatif
83,2023-03-04 10:36:08 SE Asia Standard Time,kompasiana,Peran Guru di Tengah Perkembangan Teknologi AI  https://t.co/S4rFXuPqz8,error
84,2023-03-03 23:22:28 SE Asia Standard Time,gp_1508,"@hansdavidian Ai ngerti nih, pasti yg video DCS dibilang real... Kocak, kebanyakan makan buku lupa lihat perkembangan dunia dia🤣",Negatif
85,2023-03-03 22:32:14 SE Asia Standard Time,majalabs_xyz,Holaaa MAJA People👋🏻💕  Ms. Java👩🏽‍🦱 lagi mau kasih info perkembangan teknologi AI yang memudahkan pekerjaan manusia. Nah kali ini ada teknologi AI dari Verdant Robotics yang membantu pekerjaan para petani.🧑🏻‍🌾👩🏻‍🌾  #majalabs #teknologiAI #AI #verdantrobotics #artificialintelligence  https://t.co/QnKGWxV5so,Positif
86,2023-03-03 11:16:23 SE Asia Standard Time,aryan_tann,"Semakin kesini, perkembangan teknologi termutakhir semakin maju dan terdepan. Contoh yg sekarang lagi rame yaitu AI (Artificial Intelligence) ini apakah akan sangat membantu manusia di kemudian hari atau malah menjadi petaka karena keserakahan manusia 😊",Netral
87,2023-03-03 11:09:26 SE Asia Standard Time,wwongdheso,"@sandi3k Iya si lek diliat kan semua orang pasti menantikan perkembangan, mungkin AI bakal di terima nek kalangan artist misal cara kerja ne berubah dan nggak nyolong koyo saiki, menurutku muncul e AI nek semua sektor iku hal visioner dan bukan jadi yang harus ditakuti sih (harusnya)",error
88,2023-03-02 19:07:15 SE Asia Standard Time,dw_indonesia,"Pada Desember 2022, Musk juga sempat menyinggung tentang perkembangan #ChatGPT, yang dikembangkan oleh @OpenAI, dalam sebuah cuitan. ""ChatGPT itu bagus tapi menakutkan. Kita sudah tidak jauh lagi dari AI yang sangat kuat namun berbahaya,” katanya kala itu.  https://t.co/oXSYeNUCeV",Negatif
89,2023-03-02 15:27:24 SE Asia Standard Time,beritakbr,"Platform kecerdasan buatan (AI) ChatGP, disebut bisa bantu manusia mengerjakan berbagai tugas, seperti menjawab pertanyaan &amp; menulis teks.  Bgmn pengaruh kecerdasan buatan ini pada perkembangan pendidikan?  Kami bahas di #RuangPublikKBR  https://t.co/DZV3hjokCu  #PodcastIndonesia  https://t.co/8p79e7qWtm",Positif
90,2023-03-02 09:57:36 SE Asia Standard Time,beritakbr,"LIVE NOW! Platform kecerdasan buatan (AI) ChatGP, disebut bisa bantu manusia mengerjakan berbagai tugas, seperti menjawab pertanyaan &amp; menulis teks.  Bgmn pengaruh kecerdasan buatan ini pada perkembangan pendidikan?  Kami bahas di #RuangPublikKBR LIVE YT:  https://t.co/IVmZRe9osq",Positif
91,2023-03-01 16:57:09 SE Asia Standard Time,beritakbr,"Platform kecerdasan buatan (AI) mulai banyak dikenal masyarakat. Salah satunya: ChatGP.  ChatGPT bisa bantu manusia mengerjakan berbagai tugas, seperti menjawab pertanyaan &amp; menulis teks.  Bgmn pengaruh kecerdasan buatan ini pada perkembangan pendidikan?  BESOK di #RuangPublikKBR  https://t.co/NzjZnukstV",Positif
92,2023-03-01 15:21:44 SE Asia Standard Time,bangtanseonyend,"@DobbyisFairy @rara_daisy__ @yuniyuncha @atouchbase @DobbyisFairy Heh bloon lain kali nyambung dikit lah cok😪Jangan2 lu gatau apa itu AI,IT,&amp;hubungannya sama dunia musik😳Padahal baru2 ini ada contoh Group AI yg debut.bisa jadi kedepan agensi2 pada debutin group AI seiring dengan perkembangan teknologi🤣",Negatif
93,2023-03-01 14:41:06 SE Asia Standard Time,mottypo,@aria_ghora Mungkin bisa tapi ga dalem . Dengan perkembangan AI. Programmer kedepannya akan lebih fokus ke arah sana yang fundamentalnya dari experience juga seperti dokter atau sebagainya,Netral
94,2023-02-28 22:05:25 SE Asia Standard Time,heymusafir,"Melihat perkembangan AI tech sekarang, gw rasa, jadi tua sendiri di tahun 2040 ke atas akan bisa independent. Jadi yg perlu siapin dana pensiun biar bisa mandiri &amp; gak nyusahin kala tua. If I am still alive and twitter still exist , let me RT this tweet in 2040. C u 20 yrs later",error
95,2023-02-28 20:05:22 SE Asia Standard Time,moneyyrainn,Mau ke arah mana dunia setelah perkembangan AI yang massive. Its pleasure to live in this era😍.,Positif
96,2023-02-28 17:46:35 SE Asia Standard Time,ekonomimaju,"kelompok usia produktif atau usia muda di 13-18 tahun. Di samping itu, perkembangan teknologi baru seperti Blokchain, AI, dan cloud computing juga turut menjadi akselerator pengembangan ekonomi digital.  #PerekonomianMaju #PertumbuhanEkonomi #EkonomiDigital #ASEAN",Positif
97,2023-02-28 15:24:51 SE Asia Standard Time,pacmannai,"Dari zaman simsimi, Siri sampai sekarang ada ChatGPT yang bisa ngobrol, kita selalu amazed dengan perkembangan AI yang bisa membuat human-like interaction.  AI jenis-jenis tersebut jenisnya adalah conversational AI  https://t.co/3GlnzajHhA",Positif
98,2023-02-28 14:48:08 SE Asia Standard Time,kompasiana,Perkembangan AI Art dan Hubungannya dengan Batik di Indonesia  https://t.co/hvKFiPj4Ub,Positif
